,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive,0.5,0.8,1.0,1.2,1.5,avg,naive
,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,count,count,count,count,count,count,count,max,max,max,max,max,max,max,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,std,std,std,std,std,std,std
decile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.6378844408621234,1.9057773944952836,1.8385927589380375,2.4090691608249575,2.306314632417397,1.9248738912204009,1.6674914147914068,3.421296747063346,4.16799876266724,3.953957729368727,5.024789162085957,5.121973465346194,4.206768538806911,3.7997765654096134,5.906282548436126,7.49401362770838,7.128594878456297,8.391002254910552,9.097528492636968,7.24023466715323,7.809196054601107,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,40.46555680287203,39.66826764697733,43.06744039529301,41.57588469931471,42.67284585722183,41.1725081404056,34.8325473231868,4.382795123374255,5.303941617275738,5.142641613264253,5.988621065220509,6.348582529401503,5.153130964254687,5.446409311019085,0.0011473357606778,0.0010187295855856,0.0002735178002504,0.0001656628517042,0.0005475925112852,0.0004077972444066,0.0010375688887884,3.889495215397387,4.49463821971914,4.590331296768807,4.693562280445445,5.225006986340702,4.293334968954575,5.299101354294526
2,1.8858440903534608,1.9129270463293249,2.0224352409034503,2.16459522322235,2.301241352272435,1.8399313789601184,2.1694933826144327,4.127374382713088,4.2637423521147735,4.3964184530402814,4.877079893170257,5.189224755192385,4.198368971679424,5.041533613582411,7.236248556580603,7.989139739013239,8.015778339791778,8.900596689547266,9.791728072681256,7.923874656378363,9.312566139070832,18449.0,18449.0,18449.0,18449.0,18449.0,18449.0,18449.0,47.89427989386347,43.39367270748327,48.62002120857317,47.56325394767681,43.988523146784864,41.426160964046346,36.32024520665325,5.373148687583057,5.887213245334308,5.866520031963581,6.5030007189765335,6.92683056597389,5.743041283022046,6.839432375473739,3.708377308287275e-05,0.0004324621248398,3.3583138162539854e-05,0.0001222706264446,0.0022115246792333,0.0005171649777716,0.0039253390497708,4.952090386422755,5.717012205655169,5.605757886087379,6.127907882925014,6.266476381732049,5.53677554049753,6.358003602263107
3,1.8674054030668656,1.9917913174024748,1.9948682504156572,2.044319332762037,2.292109299397707,1.93724315643857,1.339824050662188,3.8750006751290784,4.221734220779886,4.19202322223118,4.515175294849716,5.027061108804403,4.097713319392636,3.5515313073332124,7.120192407367994,7.525587216073762,7.46438114272953,8.167862507133654,9.11935037986877,7.339374195082455,8.37068798953593,18413.0,18413.0,18413.0,18413.0,18413.0,18413.0,18413.0,51.38354842269267,41.07770332225936,44.1018451987653,47.383880482892,45.17423914287992,41.03590384672163,36.85514513443101,5.250021291935667,5.610810480378079,5.610249608209393,6.094544827268692,6.605640393799197,5.5101137369678,5.499507948940618,0.0011993989593909,0.0008522648583634,0.000675127371782,0.0005991112424388,0.0009449616609574,0.0001417211629763,0.0105826885960047,4.8525504503405426,5.104985612808623,5.141673871834135,5.702095145727715,5.886916797770846,5.110465120264261,5.463017929385758
4,1.6857573528941288,1.7568057078017714,1.766223612785729,1.865554127017636,1.9489339237895558,1.6398295394915396,1.608524645470096,3.672166840975883,3.811960381685616,3.847545971214296,4.157435755582109,4.345179390165715,3.591902963526883,3.4875999130496305,6.880544320847725,6.969675653754569,7.017709656567064,7.772635351613744,8.154201576798805,6.883393029006669,7.812482040811608,18427.0,18427.0,18427.0,18427.0,18427.0,18427.0,18427.0,55.41344318960167,54.91386971731285,59.135726776615,58.32103541417288,58.24106745820341,55.96244862535704,54.08093959375322,5.095079032704566,5.183015903309549,5.288151916050047,5.708455813728226,5.970134354562957,5.077114962639935,5.606131207194892,0.0002267048544202,0.0001283676241182,6.994179988888626e-05,0.0004854784711003,0.000319442740426,7.809907446647196e-05,0.0103057421561221,5.332347288897459,5.2526665842437525,5.543892884921624,5.784635233088277,6.1082381955214196,5.385561329341763,6.326692376929903
5,1.5378622623106903,1.5105530330705705,1.6320264522012011,1.6671346907939077,1.7116308590755698,1.3898857931317865,1.7252940037113524,3.388264640635967,3.2780805847861703,3.4749670277354503,3.580800456005872,3.7221057666688018,3.1067560691784952,4.068098409420559,6.229234801816322,6.1091191265055595,6.184770030820364,6.328271423303617,6.721370811091018,5.701862132461627,7.382262567739634,18439.0,18439.0,18439.0,18439.0,18439.0,18439.0,18439.0,51.44523527405541,52.36900603937104,54.39516704313332,54.396341576846375,54.7726441087589,52.40580689106336,47.7441979593091,4.545099370368218,4.5306056623141675,4.6769135052206545,4.765170141528784,4.99501121055726,4.252245393540989,5.650670867428329,0.0001482307053545,0.0003111867640697,0.0001281564061685,0.0002181297163413,0.0001208218643732,0.0008270928761822,0.0085494262598919,4.5214709026735385,4.58981787848367,4.754073459568825,4.787116861154442,4.962080178232498,4.460778911559541,5.871004206701862
6,1.8505232347851726,1.640212803693656,1.6620222533704758,1.4737142464449469,1.4600081083336038,1.4241028994595415,1.9555420750192607,3.8722125810481325,3.5690104260907964,3.491824837270399,3.3802803520200158,3.3389896864730195,3.125451033663156,4.623396755575534,7.012537892215646,6.411724895515477,6.285333319298537,6.44465198061339,6.3257497855946765,5.807073001379299,8.695029476392858,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,59.94878175600961,60.430825353224506,59.80687739261364,62.9557005151602,63.66509599278503,60.87805656233473,59.66386949706599,5.4947372679800885,5.241470033084412,5.2159369284064105,5.205012145207903,5.22613769762467,4.8315398679150015,6.437249705544397,4.9586932690734456e-05,0.0012563094854788,0.0004314093248607,0.0009696969295928,0.0015826928861322,0.0004854151873985,0.0084090230802676,6.270263313321262,6.495153780050834,6.557491438653,6.704415936251563,6.900251648928886,6.441568209908771,7.050958720608806
7,2.27077354731543,2.026687929650303,1.966972026494492,1.8611736119152633,1.7706064844566505,1.7749426555872627,1.6467500204740402,4.8272756363489915,4.36567679088521,4.2421129108713185,3.9299129177221723,3.873299452183231,3.8981248570267617,3.9455214207534426,8.331431398173127,7.5051381845668175,7.344432039853376,7.017445241936121,6.905348822976116,6.784702022588667,8.717436591140835,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,29.43006428780921,34.73846917653747,34.9903212481742,33.45520986083365,31.416030772093293,30.96661871769017,33.717253988245346,5.993846165010866,5.708524733920022,5.617020760085829,5.467970626689862,5.362444108272869,5.238280512124806,5.852188714078016,0.0015963129831692,0.0003283139758149,0.0003504311412701,0.0010054868992806,0.0002409460672459,3.811552483530248e-07,0.0035849365947423,5.013131191638058,5.257602142595275,5.305821894088157,5.36795007586201,5.2450337235508675,5.037631556275354,5.653779351037073
8,2.4763509113338094,2.1759628275701166,1.9696769126450033,1.7971754804010878,1.7588849093126282,1.8328801466313405,1.638011772300438,5.176943709352667,4.664013031134083,4.350954314801153,4.082205882780125,4.0498736157921815,4.124206897638817,3.665573655887191,8.863522782981255,8.611313898080176,8.109263645805646,7.784254174766954,8.077901111739987,7.8067672643882196,8.781779102544265,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,30.63998878338105,30.15560079847844,31.616013354167382,36.679016269464334,34.473832516799185,31.006622581883924,34.86857587846796,6.303412745945432,6.00895805783538,5.908185767417912,5.846835706921812,5.916382481436219,5.627211370859677,5.850257339266509,0.0015412000249012,0.000425096734638,0.0006231182029757,0.0007391843605476,0.0002086170722868,2.0535299769777343e-05,0.0010514103680998,5.022545555401032,5.045377663804607,5.336849972210475,5.745899197840707,5.79918314034058,5.156331116299588,5.799157310227246
9,2.885006585246584,2.3639998399343716,2.0565112776102774,1.6808227913543088,1.6818927647105,2.027058451624987,1.182443654914155,5.802121599544586,4.981532072096774,4.412952523221707,3.9040930813673813,3.8716549558126605,4.4227068492932435,3.0426743379584895,9.569463568678497,8.796721413950609,7.895972235848578,7.427273879370314,7.51633752584428,7.934059733234244,7.685473374452718,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,32.37905506372093,31.123577779906213,31.768926246019724,25.77863220441865,32.4097185437343,27.61665110097936,28.694358423129103,6.925720965781992,6.099431284193366,5.690464210339314,5.152115167411498,5.501511395161575,5.590752671033509,5.233104380177006,0.0009276886372955,3.648362205211021e-05,0.0001789796190131,0.0005830633249339,7.284554038280888e-05,0.0011397331387691,0.0042144831837661,5.326624241478577,4.7874808233953114,4.901030437515497,4.446614625076338,5.241366427388839,4.626305532745788,5.537908610641475
10,3.557884390447769,2.9181710346507375,1.9919467283723737,1.463908043655473,1.3605090283677737,2.092524106079726,0.9332229205561052,6.0380135913969575,5.455813814099935,4.197248012227935,3.2181806773100368,3.2046078688495134,4.3106538342892335,2.30271247219016,9.507823750485338,8.989478943392402,7.53904302422096,6.110998145075706,6.636312319396568,7.811233535441197,4.351482855095989,18408.0,18408.0,18408.0,18408.0,18408.0,18408.0,18408.0,34.88667467916963,29.247372107913648,32.42072667092628,30.48310089982489,37.08116342382442,29.922870961125625,28.737366260186526,7.331549351343421,6.511513309725513,5.54068932652673,4.504659088916128,5.053412992671705,5.615947825595281,3.5154005164209807,0.0009222879437864,0.0002946099586843,0.0016119836170459,0.000298983915925,0.000416860133425,0.0002906294298313,0.0115331659157248,5.525867609795222,4.808845784215128,4.99039809241343,4.277974212346099,5.557248370705699,4.798204314393962,4.05818140732737
